entity,entity_role,prompt_id,channel,platform,model_or_mode,searched_web,entity_recognition,spontaneous_mention,mention_position,factual_accuracy,major_hallucination,citations_present,citations_valid,official_source_present,raw_evidence_path,evaluator_note
flomo 浮墨笔记,target,P1,api,DeepSeek,deepseek-v4-pro,false,unknown,not_applicable,,correct,no,no,no,no,raw/api/deepseek/flomo__P1.md,按完整原始回答与官方基准资料人工评分。
flomo 浮墨笔记,target,P1,api,腾讯元宝,hy3,false,partial,not_applicable,,correct,no,no,no,no,raw/api/hy3/flomo__P1.md,按完整原始回答与官方基准资料人工评分。
flomo 浮墨笔记,target,P1,api,通义,qwen3.7-plus,false,correct,not_applicable,,correct,no,no,no,no,raw/api/qwen/flomo__P1.md,按完整原始回答与官方基准资料人工评分。
flomo 浮墨笔记,target,P1,api,豆包,doubao-seed-2-0-lite-260215,false,correct,not_applicable,,correct,no,no,no,no,raw/api/doubao/flomo__P1.md,按完整原始回答与官方基准资料人工评分。
flomo 浮墨笔记,target,P2,api,DeepSeek,deepseek-v4-pro,false,unknown,no,,unverifiable,no,no,no,no,raw/api/deepseek/flomo__P2.md,自然推荐中未提及被测实体。
flomo 浮墨笔记,target,P2,api,腾讯元宝,hy3,false,unknown,yes,3,unverifiable,no,no,no,no,raw/api/hy3/flomo__P2.md,自然推荐中提及被测实体。
flomo 浮墨笔记,target,P2,api,通义,qwen3.7-plus,false,unknown,no,,unverifiable,no,no,no,no,raw/api/qwen/flomo__P2.md,自然推荐中未提及被测实体。
flomo 浮墨笔记,target,P2,api,豆包,doubao-seed-2-0-lite-260215,false,unknown,no,,unverifiable,no,no,no,no,raw/api/doubao/flomo__P2.md,自然推荐中未提及被测实体。
flomo 浮墨笔记,target,P3,api,DeepSeek,deepseek-v4-pro,false,correct,not_applicable,,mixed,no,no,no,no,raw/api/deepseek/flomo__P3.md,按完整原始回答与官方基准资料人工评分。
flomo 浮墨笔记,target,P3,api,腾讯元宝,hy3,false,correct,not_applicable,,mixed,no,no,no,no,raw/api/hy3/flomo__P3.md,按完整原始回答与官方基准资料人工评分。
flomo 浮墨笔记,target,P3,api,通义,qwen3.7-plus,false,correct,not_applicable,,mixed,no,no,no,no,raw/api/qwen/flomo__P3.md,按完整原始回答与官方基准资料人工评分。
flomo 浮墨笔记,target,P3,api,豆包,doubao-seed-2-0-lite-260215,false,correct,not_applicable,,mixed,no,no,no,no,raw/api/doubao/flomo__P3.md,按完整原始回答与官方基准资料人工评分。
flomo 浮墨笔记,target,P4,api,DeepSeek,deepseek-v4-pro,false,partial,not_applicable,,correct,no,yes,no,yes,raw/api/deepseek/flomo__P4.md,按完整原始回答与官方基准资料人工评分。
flomo 浮墨笔记,target,P4,api,腾讯元宝,hy3,false,correct,not_applicable,,mixed,no,yes,yes,yes,raw/api/hy3/flomo__P4.md,按完整原始回答与官方基准资料人工评分。
flomo 浮墨笔记,target,P4,api,通义,qwen3.7-plus,false,correct,not_applicable,,wrong,yes,yes,no,yes,raw/api/qwen/flomo__P4.md,把未实时核验内容标为已核验，并给出错误或不支持主张的官方/App Store 链接。
flomo 浮墨笔记,target,P4,api,豆包,doubao-seed-2-0-lite-260215,false,unknown,not_applicable,,correct,no,no,no,no,raw/api/doubao/flomo__P4.md,按完整原始回答与官方基准资料人工评分。
追觅 Dreame X50 Ultra,target,P1,api,DeepSeek,deepseek-v4-pro,false,unknown,not_applicable,,unverifiable,no,no,no,no,raw/api/deepseek/dreame_x50_ultra__P1.md,按完整原始回答与官方基准资料人工评分。
追觅 Dreame X50 Ultra,target,P1,api,腾讯元宝,hy3,false,unknown,not_applicable,,unverifiable,no,no,no,no,raw/api/hy3/dreame_x50_ultra__P1.md,按完整原始回答与官方基准资料人工评分。
追觅 Dreame X50 Ultra,target,P1,api,通义,qwen3.7-plus,false,unknown,not_applicable,,unverifiable,no,no,no,no,raw/api/qwen/dreame_x50_ultra__P1.md,按完整原始回答与官方基准资料人工评分。
追觅 Dreame X50 Ultra,target,P1,api,豆包,doubao-seed-2-0-lite-260215,false,unknown,not_applicable,,unverifiable,no,no,no,no,raw/api/doubao/dreame_x50_ultra__P1.md,按完整原始回答与官方基准资料人工评分。
追觅 Dreame X50 Ultra,target,P2,api,DeepSeek,deepseek-v4-pro,false,unknown,no,,unverifiable,no,no,no,no,raw/api/deepseek/dreame_x50_ultra__P2.md,自然推荐中未提及被测实体。
追觅 Dreame X50 Ultra,target,P2,api,腾讯元宝,hy3,false,unknown,no,,unverifiable,no,no,no,no,raw/api/hy3/dreame_x50_ultra__P2.md,自然推荐中未提及被测实体。
追觅 Dreame X50 Ultra,target,P2,api,通义,qwen3.7-plus,false,unknown,no,,unverifiable,no,no,no,no,raw/api/qwen/dreame_x50_ultra__P2.md,自然推荐中未提及被测实体。
追觅 Dreame X50 Ultra,target,P2,api,豆包,doubao-seed-2-0-lite-260215,false,unknown,not_applicable,,unverifiable,no,no,no,no,raw/api/doubao/dreame_x50_ultra__P2.md,API failure: Request timed out.
追觅 Dreame X50 Ultra,target,P3,api,DeepSeek,deepseek-v4-pro,false,unknown,not_applicable,,correct,no,no,no,no,raw/api/deepseek/dreame_x50_ultra__P3.md,按完整原始回答与官方基准资料人工评分。
追觅 Dreame X50 Ultra,target,P3,api,腾讯元宝,hy3,false,partial,not_applicable,,mixed,no,no,no,no,raw/api/hy3/dreame_x50_ultra__P3.md,按完整原始回答与官方基准资料人工评分。
追觅 Dreame X50 Ultra,target,P3,api,通义,qwen3.7-plus,false,wrong,not_applicable,,wrong,yes,no,no,no,raw/api/qwen/dreame_x50_ultra__P3.md,与官方事实相反：断言 X50 Ultra / X8 PRO OMNI 不存在或未发布。
追觅 Dreame X50 Ultra,target,P3,api,豆包,doubao-seed-2-0-lite-260215,false,wrong,not_applicable,,wrong,yes,no,no,no,raw/api/doubao/dreame_x50_ultra__P3.md,严重编造或混淆多项核心规格，不能作为产品比较依据。
追觅 Dreame X50 Ultra,target,P4,api,DeepSeek,deepseek-v4-pro,false,unknown,not_applicable,,mixed,no,yes,no,no,raw/api/deepseek/dreame_x50_ultra__P4.md,按完整原始回答与官方基准资料人工评分。
追觅 Dreame X50 Ultra,target,P4,api,腾讯元宝,hy3,false,partial,not_applicable,,mixed,no,yes,yes,yes,raw/api/hy3/dreame_x50_ultra__P4.md,按完整原始回答与官方基准资料人工评分。
追觅 Dreame X50 Ultra,target,P4,api,通义,qwen3.7-plus,false,wrong,not_applicable,,wrong,yes,yes,no,yes,raw/api/qwen/dreame_x50_ultra__P4.md,与官方事实相反：断言 X50 Ultra / X8 PRO OMNI 不存在或未发布。
追觅 Dreame X50 Ultra,target,P4,api,豆包,doubao-seed-2-0-lite-260215,false,unknown,not_applicable,,correct,no,no,no,no,raw/api/doubao/dreame_x50_ultra__P4.md,按完整原始回答与官方基准资料人工评分。
支付宝,positive_control,P1,api,DeepSeek,deepseek-v4-pro,false,correct,not_applicable,,correct,no,no,no,no,raw/api/deepseek/alipay__P1.md,按完整原始回答与官方基准资料人工评分。
支付宝,positive_control,P1,api,腾讯元宝,hy3,false,correct,not_applicable,,correct,no,no,no,no,raw/api/hy3/alipay__P1.md,按完整原始回答与官方基准资料人工评分。
支付宝,positive_control,P1,api,通义,qwen3.7-plus,false,correct,not_applicable,,correct,no,no,no,no,raw/api/qwen/alipay__P1.md,按完整原始回答与官方基准资料人工评分。
支付宝,positive_control,P1,api,豆包,doubao-seed-2-0-lite-260215,false,correct,not_applicable,,correct,no,no,no,no,raw/api/doubao/alipay__P1.md,按完整原始回答与官方基准资料人工评分。
支付宝,positive_control,P2,api,DeepSeek,deepseek-v4-pro,false,unknown,yes,1,unverifiable,no,no,no,no,raw/api/deepseek/alipay__P2.md,自然推荐中提及被测实体。
支付宝,positive_control,P2,api,腾讯元宝,hy3,false,unknown,yes,2,unverifiable,no,no,no,no,raw/api/hy3/alipay__P2.md,自然推荐中提及被测实体。
支付宝,positive_control,P2,api,通义,qwen3.7-plus,false,unknown,yes,1,unverifiable,no,no,no,no,raw/api/qwen/alipay__P2.md,自然推荐中提及被测实体。
支付宝,positive_control,P2,api,豆包,doubao-seed-2-0-lite-260215,false,unknown,yes,2,unverifiable,no,no,no,no,raw/api/doubao/alipay__P2.md,自然推荐中提及被测实体。
支付宝,positive_control,P3,api,DeepSeek,deepseek-v4-pro,false,correct,not_applicable,,mixed,no,no,no,no,raw/api/deepseek/alipay__P3.md,按完整原始回答与官方基准资料人工评分。
支付宝,positive_control,P3,api,腾讯元宝,hy3,false,correct,not_applicable,,mixed,no,no,no,no,raw/api/hy3/alipay__P3.md,按完整原始回答与官方基准资料人工评分。
支付宝,positive_control,P3,api,通义,qwen3.7-plus,false,correct,not_applicable,,mixed,no,no,no,no,raw/api/qwen/alipay__P3.md,按完整原始回答与官方基准资料人工评分。
支付宝,positive_control,P3,api,豆包,doubao-seed-2-0-lite-260215,false,correct,not_applicable,,mixed,no,no,no,no,raw/api/doubao/alipay__P3.md,按完整原始回答与官方基准资料人工评分。
支付宝,positive_control,P4,api,DeepSeek,deepseek-v4-pro,false,correct,not_applicable,,correct,no,yes,no,yes,raw/api/deepseek/alipay__P4.md,按完整原始回答与官方基准资料人工评分。
支付宝,positive_control,P4,api,腾讯元宝,hy3,false,correct,not_applicable,,correct,no,yes,yes,yes,raw/api/hy3/alipay__P4.md,按完整原始回答与官方基准资料人工评分。
支付宝,positive_control,P4,api,通义,qwen3.7-plus,false,correct,not_applicable,,mixed,no,yes,yes,yes,raw/api/qwen/alipay__P4.md,按完整原始回答与官方基准资料人工评分。
支付宝,positive_control,P4,api,豆包,doubao-seed-2-0-lite-260215,false,correct,not_applicable,,correct,no,yes,yes,yes,raw/api/doubao/alipay__P4.md,按完整原始回答与官方基准资料人工评分。
栖栈清单,negative_control,P1,api,DeepSeek,deepseek-v4-pro,false,unknown,not_applicable,,correct,no,no,no,no,raw/api/deepseek/qizhan_checklist__P1.md,按完整原始回答与官方基准资料人工评分。
栖栈清单,negative_control,P1,api,腾讯元宝,hy3,false,unknown,not_applicable,,correct,no,no,no,no,raw/api/hy3/qizhan_checklist__P1.md,按完整原始回答与官方基准资料人工评分。
栖栈清单,negative_control,P1,api,通义,qwen3.7-plus,false,unknown,not_applicable,,correct,no,no,no,no,raw/api/qwen/qizhan_checklist__P1.md,按完整原始回答与官方基准资料人工评分。
栖栈清单,negative_control,P1,api,豆包,doubao-seed-2-0-lite-260215,false,unknown,not_applicable,,correct,no,no,no,no,raw/api/doubao/qizhan_checklist__P1.md,按完整原始回答与官方基准资料人工评分。
栖栈清单,negative_control,P2,api,DeepSeek,deepseek-v4-pro,false,unknown,no,,unverifiable,no,no,no,no,raw/api/deepseek/qizhan_checklist__P2.md,自然推荐中未提及被测实体。
栖栈清单,negative_control,P2,api,腾讯元宝,hy3,false,unknown,no,,unverifiable,no,no,no,no,raw/api/hy3/qizhan_checklist__P2.md,自然推荐中未提及被测实体。
栖栈清单,negative_control,P2,api,通义,qwen3.7-plus,false,unknown,no,,unverifiable,no,no,no,no,raw/api/qwen/qizhan_checklist__P2.md,自然推荐中未提及被测实体。
栖栈清单,negative_control,P2,api,豆包,doubao-seed-2-0-lite-260215,false,unknown,no,,unverifiable,no,no,no,no,raw/api/doubao/qizhan_checklist__P2.md,自然推荐中未提及被测实体。
栖栈清单,negative_control,P3,api,DeepSeek,deepseek-v4-pro,false,unknown,not_applicable,,correct,no,no,no,no,raw/api/deepseek/qizhan_checklist__P3.md,按完整原始回答与官方基准资料人工评分。
栖栈清单,negative_control,P3,api,腾讯元宝,hy3,false,unknown,not_applicable,,correct,no,no,no,no,raw/api/hy3/qizhan_checklist__P3.md,按完整原始回答与官方基准资料人工评分。
栖栈清单,negative_control,P3,api,通义,qwen3.7-plus,false,unknown,not_applicable,,correct,no,no,no,no,raw/api/qwen/qizhan_checklist__P3.md,按完整原始回答与官方基准资料人工评分。
